title,author,author_gender,pub_year,corpus,source,news_novel
Agnes Grey,Anne Bronte,F,1847,novel,gutenberg,1
Armadale,Wilkie Collins,M,1864,novel,gutenberg,1
Aurora Floyd,Mary Elizabeth Braddon,F,1863,novel,gutenberg,1
"Belinda, A Novel",Rhoda Broughton,F,1883,novel,gutenberg,1
Birds of Prey,Mary Elizabeth Braddon,F,1867,novel,gutenberg,1
Bleak House,Charles Dickens,M,1852,novel,gutenberg,1
Can You Forgive Her,Anthony Trollope,M,1864,novel,gutenberg,1
Cecil,Catherine Gore,F,1841,novel,gutenberg,1
Children of the Ghetto,Benjamin Disraeli,M,1892,novel,gutenberg,1
Daniel Deronda,George Eliot,F,1876,novel,gutenberg,1
David Copperfield,Charles Dickens,M,1850,novel,gutenberg,1
Desperate Remedies,Thomas Hardy,M,1871,novel,gutenberg,1
Dombey and Son,Charles Dickens,M,1848,novel,gutenberg,1
Dracula,Bram Stoker,M,1897,novel,gutenberg,1
East Lynne,Ellen Wood,F,1861,novel,gutenberg,1
Far From the Maddening Crowd,Thomas Hardy,F,1874,novel,gutenberg,1
Foul Play,Charles Reade,M,1869,novel,gutenberg,1
Griffith Gaunt,Charles Reade,M,1866,novel,gutenberg,1
Hagar of the Pawn Shop,Fergus Hume,M,1898,novel,gutenberg,1
Hard Cash,Charles Reade,M,1863,novel,gutenberg,1
Hard Times,Charles Dickens,M,1854,novel,gutenberg,1
Heart of Darkness,Joseph Conrad,M,1899,novel,gutenberg,1
Henry Dunbar,Mary Elizabeth Braddon,F,1864,novel,gutenberg,1
In the Year of Jubilee,George Gissing,M,1894,novel,gutenberg,1
John Marchmont's Legacy ,Mary Elizabeth Braddon,F,1863,novel,gutenberg,1
Jude the Obscure,Thomas Hardy,M,1895,novel,gutenberg,1
Lady Audley's Secret ,Mary Elizabeth Braddon,F,1862,novel,gutenberg,1
Lady Lisle,Mary Elizabeth Braddon,F,1862,novel,gutenberg,1
Lost and Saved,Caroline Sheridan Norton,F,1863,novel,gutenberg,1
"Loveday Brooke, Lady Detective ",Catherine Louisa Pirkis,F,1893,novel,gutenberg,1
Lucretia,Edward Buwler Lytton ,M,1846,novel,gutenberg,1
Madam,Margaret Oliphant,F,1884,novel,gutenberg,1
Mansfield Park,Jane Austen,F,1814,novel,gutenberg,1
Martin Chuzzlewit,Charles Dickens,M,1844,novel,gutenberg,1
Mary Barton,Elizabeth Gaskell,F,1848,novel,gutenberg,1
Meg's Friend,Alice Abigail Corkran,F,1888,novel,gutenberg,1
Middlemarch,George Eliot,F,1871,novel,gutenberg,1
No Name,Wilkie Collins,M,1862,novel,gutenberg,1
Oliver Twist,Charles Dickens,M,1837,novel,gutenberg,1
Our Mutual Friend,Charles Dickens,M,1865,novel,gutenberg,1
Persuasion,Jane Austen,F,1817,novel,gutenberg,1
Phineas Finn,Anthony Trollope,M,1867,novel,gutenberg,1
Phineas Redux,Anthony Trollope,M,1873,novel,gutenberg,1
Shirley,Charlotte Bronte,F,1849,novel,gutenberg,1
St. Martin's Eve,Ellen Wood,F,1866,novel,gutenberg,1
Story of a Modern Woman,Ella Hepworth Dixon,F,1894,novel,gutenberg,1
The Agony Column,Earl Derr Biggers,M,1916,novel,gutenberg,1
The Cross of Honour,Annie Thomas,F,1864,novel,gutenberg,1
The Female Detective,Andrew Forrester,M,1864,novel,gutenberg,1
The First Men in the Moon,H.G. Wells,M,1901,novel,gutenberg,1
The Heir of Redclyffe,Charlotte Young,F,1853,novel,gutenberg,1
The History of Mr. Polly,H.G. Wells,M,1910,novel,gutenberg,1
The Legacy of Cain,Wilkie Collins,M,1868,novel,gutenberg,1
The Moonstone,Wilkie Collins,M,1866,novel,gutenberg,1
The Mystery of the Hansom Cab,Fergus Hume,M,1886,novel,gutenberg,1
The New Magdalene,Wilkie Collins,M,1873,novel,gutenberg,1
The Papers,Henry James,M,1903,novel,wikisource,1
The Pickwick Papers,Charles Dickens,M,1836,novel,gutenberg,1
The Reverberator,Henry James,M,1888,novel,gutenberg,1
"The Struggles of Brown, Jones, and Robinson",Anthony Trollope,M,1862,novel,gutenberg,1
The Warden,Anthony Trollope,M,1855,novel,gutenberg,1
The Woman in White,Wilkie Collins,M,1859,novel,gutenberg,1
The Wrecker,Robert Louis Stevenson,M,1892,novel,gutenberg,1
Tono-Bungay,H.G. Wells,M,1908,novel,gutenberg,1
Two on a Tower,Thomas Hardy,M,1882,novel,gutenberg,1
Under Two Flags,Ouida,F,1867,novel,gutenberg,1
Under Western Eyes,Joseph Conrad,M,1911,novel,gutenberg,1
Villette,Charlotte Bronte,F,1853,novel,gutenberg,1
Wylder's Hand,Sheridan Le Fanu,M,1864,novel,gutenberg,1
Drelincourt and Rodalvi,Elizabeth Strutt,F,1807,novel,hum19uk,0
