,sentences,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_CCONJ_count,POS_ADV_count,POS_NOUN_count,POS_PRON_count,POS_VERB_count,POS_PROPN_count,POS_PUNCT_count,POS_AUX_count,POS_NUM_count,POS_PART_count,POS_SCONJ_count,POS_INTJ_count,POS_X_count,POS_SYM_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_CCONJ_count,%POS_ADV_count,%POS_NOUN_count,%POS_PRON_count,%POS_VERB_count,%POS_PROPN_count,%POS_PUNCT_count,%POS_AUX_count,%POS_NUM_count,%POS_PART_count,%POS_SCONJ_count,%POS_INTJ_count,%POS_X_count,%POS_SYM_count
2,"In the long and intricately inwrought chain of circumstance which renders worthy of record some experiences of Cytherea Graye, Edward Springrove, and others, the first event directly influencing the issue was a Christmas visit.",0,34,"[['ADP', 4], ['DET', 5], ['ADJ', 4], ['CCONJ', 2], ['ADV', 2], ['NOUN', 8], ['PRON', 1], ['VERB', 2], ['PROPN', 5], ['PUNCT', 4], ['AUX', 1]]",38,4.0,5.0,4.0,2.0,2.0,8.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,13.158,10.526,5.263,5.263,21.053,2.632,5.263,13.158,10.526,2.632,0.0,0.0,0.0,0.0,0.0,0.0
3,"In the above-mentioned year, 1835, Ambrose Graye, a young architect who had just begun the practice of his profession in the midland town of Hocbridge, to the north of Christminster, went to London to spend the Christmas holidays with a friend who lived in Bloomsbury.",0,45,"[['ADP', 9], ['DET', 7], ['ADV', 2], ['PUNCT', 7], ['VERB', 5], ['NOUN', 8], ['NUM', 1], ['PROPN', 8], ['ADJ', 1], ['PRON', 3], ['AUX', 1], ['PART', 1]]",53,9.0,7.0,1.0,0.0,2.0,8.0,3.0,5.0,8.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.981,13.208,1.887,0.0,3.774,15.094,5.66,9.434,15.094,13.208,1.887,1.887,1.887,0.0,0.0,0.0,0.0
4,"They had gone up to Cambridge in the same year, and, after graduating together, Huntway, the friend, had taken orders.",0,20,"[['PRON', 1], ['AUX', 2], ['VERB', 3], ['ADP', 4], ['PROPN', 2], ['DET', 2], ['ADJ', 1], ['NOUN', 3], ['PUNCT', 6], ['CCONJ', 1], ['ADV', 1]]",26,4.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,7.692,3.846,3.846,3.846,11.538,3.846,11.538,7.692,23.077,7.692,0.0,0.0,0.0,0.0,0.0,0.0
5,"Graye was handsome, frank, and gentle.",0,6,"[['PROPN', 1], ['AUX', 1], ['ADJ', 3], ['PUNCT', 3], ['CCONJ', 1]]",9,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,11.111,0.0,0.0,0.0,0.0,11.111,33.333,11.111,0.0,0.0,0.0,0.0,0.0,0.0
6,"He had a quality of thought which, exercised on homeliness, was humour; on nature, picturesqueness; on abstractions, poetry.",0,18,"[['PRON', 2], ['VERB', 2], ['DET', 1], ['NOUN', 7], ['ADP', 4], ['PUNCT', 7], ['PROPN', 1], ['AUX', 1]]",25,4.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,28.0,8.0,8.0,4.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Being, as a rule, broadcast, it was all three.",0,9,"[['AUX', 2], ['PUNCT', 4], ['ADP', 1], ['DET', 1], ['NOUN', 2], ['PRON', 2], ['NUM', 1]]",13,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.692,7.692,0.0,0.0,0.0,15.385,15.385,0.0,0.0,30.769,15.385,7.692,0.0,0.0,0.0,0.0,0.0
8,Of the wickedness of the world he was too forgetful.,0,10,"[['ADP', 2], ['DET', 2], ['NOUN', 2], ['PRON', 1], ['AUX', 1], ['ADV', 1], ['ADJ', 1], ['PUNCT', 1]]",11,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.182,18.182,9.091,0.0,9.091,18.182,9.091,0.0,0.0,9.091,9.091,0.0,0.0,0.0,0.0,0.0,0.0
9,To discover evil in a new friend is to most people only an additional experience: to him it was ever a surprise.,0,22,"[['PART', 1], ['VERB', 1], ['NOUN', 5], ['ADP', 3], ['DET', 3], ['ADJ', 3], ['AUX', 2], ['ADV', 2], ['PUNCT', 2], ['PRON', 2]]",24,3.0,3.0,3.0,0.0,2.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,8.333,20.833,8.333,4.167,0.0,8.333,8.333,0.0,4.167,0.0,0.0,0.0,0.0
10,"While in London he became acquainted with a retired officer in the Navy named Bradleigh, who, with his wife and their daughter, lived in a street not far from Russell Square.",0,31,"[['SCONJ', 1], ['ADP', 6], ['PROPN', 5], ['PRON', 4], ['VERB', 4], ['DET', 3], ['ADJ', 1], ['NOUN', 4], ['PUNCT', 4], ['CCONJ', 1], ['PART', 1], ['ADV', 1]]",35,6.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.143,8.571,2.857,2.857,2.857,11.429,11.429,11.429,14.286,11.429,0.0,0.0,2.857,2.857,0.0,0.0,0.0
11,"Though they were in no more than comfortable circumstances, the captain’s wife came of an ancient family whose genealogical tree was interlaced with some of the most illustrious and well-known in the kingdom.",0,33,"[['SCONJ', 1], ['PRON', 2], ['AUX', 2], ['ADP', 6], ['DET', 6], ['ADJ', 5], ['NOUN', 6], ['PUNCT', 3], ['PART', 1], ['VERB', 3], ['ADV', 2], ['CCONJ', 1]]",38,6.0,6.0,5.0,1.0,2.0,6.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,15.789,15.789,13.158,2.632,5.263,15.789,5.263,7.895,0.0,7.895,5.263,0.0,2.632,2.632,0.0,0.0,0.0
