,book_title,book_year,author_name,words_count_stopless,words_count_stopped,percentage_stopped_of_stoppless,sentences_count,average_words_per_sentence,full_text_ttr,mattr_500,mattr_2000,all_pos_counts,50_most_common_nouns,50_most_common_verbs,POS_PUNCT,POS_NOUN,POS_DET,POS_ADJ,POS_VERB,POS_SCONJ,POS_ADP,POS_AUX,POS_PART,POS_CCONJ,POS_ADV,POS_PROPN,POS_PRON,POS_NUM,POS_INTJ,POS_X,noun_percentage,verb_and_aux_percentage,POS_SYM,parts_of_speech_total_count,%POS_PUNCT,%POS_NOUN,%POS_DET,%POS_ADJ,%POS_VERB,%POS_SCONJ,%POS_ADP,%POS_AUX,%POS_PART,%POS_CCONJ,%POS_ADV,%POS_PROPN,%POS_PRON,%POS_NUM,%POS_INTJ,%POS_X,%POS_SYM
0,Agnes_Grey,1847,Anne_Bronte,67718.0,24161.0,35.67884462033728,3201.0,21.17525773195876,0.1088409282015725,0.5198980501724177,0.3687079938590846,"[['PUNCT', 4930], ['NOUN', 10116], ['DET', 8255], ['ADJ', 4864], ['VERB', 10808], ['SCONJ', 2000], ['ADP', 6730], ['AUX', 3776], ['PART', 2632], ['CCONJ', 3931], ['ADV', 5084], ['PROPN', 2033], ['PRON', 8228], ['NUM', 357], ['INTJ', 277], ['X', 37]]","[('time', 142), ('mother', 124), ('day', 65), ('things', 59), ('heart', 58), ('children', 58), ('house', 50), ('man', 49), ('sister', 49), ('father', 48), ('course', 46), ('home', 45), ('way', 45), ('life', 44), ('ladies', 44), ('pupils', 42), ('eyes', 42), ('church', 42), ('mamma', 41), ('one', 41), ('morning', 38), ('words', 38), ('world', 37), ('hand', 37), ('friends', 36), ('room', 36), ('governess', 35), ('face', 34), ('word', 34), ('mind', 33), ('pleasure', 33), ('lady', 33), ('place', 32), ('papa', 31), ('others', 30), ('people', 30), ('girl', 29), ('years', 27), ('woman', 27), ('care', 27), ('thing', 27), ('moment', 27), ('schoolroom', 27), ('carriage', 26), ('happiness', 26), ('manner', 26), ('trouble', 25), ('length', 25), ('head', 25), ('walk', 25)]","[('would', 379), ('could', 260), ('said', 186), ('will', 175), ('should', 174), ('see', 156), ('might', 136), ('must', 129), ('can', 127), ('know', 120), ('think', 118), ('’s', 116), ('say', 91), ('come', 90), ('go', 89), ('make', 88), ('thought', 86), ('made', 80), ('shall', 73), ('take', 71), ('tell', 70), ('done', 69), ('came', 58), ('having', 56), ('may', 55), ('give', 55), ('went', 53), ('replied', 53), ('seemed', 51), ('’m', 50), ('told', 49), ('keep', 49), ('like', 45), ('knew', 43), ('heard', 42), ('let', 42), ('felt', 40), ('read', 39), ('saw', 38), ('suppose', 38), ('hear', 38), ('found', 37), ('took', 37), ('speak', 35), ('’ll', 34), ('’ve', 34), ('got', 33), ('left', 33), ('look', 32), ('asked', 32)]",4930.0,10116.0,8255.0,4864.0,10808.0,2000.0,6730.0,3776.0,2632.0,3931.0,5084.0,2033.0,8228.0,357.0,277.0,37.0,13.66,14.594,0.0,74058.0,6.657,13.66,11.147,6.568,14.594,2.701,9.087,5.099,3.554,5.308,6.865,2.745,11.11,0.482,0.374,0.05,0.0
1,Armadale,1864,Wilkie_Collins,295546.0,111234.0,37.63678073802386,19298.0,15.344647113690538,0.0456562409244713,0.4975212480591863,0.341370952003741,"[['ADP', 36354], ['PUNCT', 20620], ['DET', 43605], ['NOUN', 52174], ['PRON', 32389], ['AUX', 16230], ['NUM', 1712], ['CCONJ', 9477], ['PROPN', 12346], ['VERB', 44704], ['PART', 9975], ['ADJ', 18284], ['ADV', 17419], ['SCONJ', 6609], ['INTJ', 541], ['X', 25]]","[('time', 864), ('midwinter', 786), ('man', 704), ('way', 619), ('letter', 498), ('doctor', 410), ('woman', 398), ('hand', 384), ('place', 366), ('face', 363), ('moment', 359), ('house', 351), ('friend', 345), ('words', 344), ('day', 327), ('mind', 318), ('door', 312), ('room', 305), ('eyes', 290), ('name', 280), ('life', 276), ('morning', 272), ('side', 270), ('armadale', 244), ('father', 238), ('thorpe', 231), ('ambrose', 230), ('head', 225), ('night', 222), ('mother', 202), ('question', 200), ('end', 199), ('lady', 195), ('word', 192), ('son', 192), ('hands', 173), ('circumstances', 167), ('window', 160), ('wife', 159), ('silence', 158), ('person', 157), ('hour', 156), ('business', 151), ('men', 147), ('matter', 146), ('course', 144), ('manner', 140), ('subject', 137), ('position', 137), ('voice', 136)]","[('said', 1136), ('will', 694), ('would', 578), ('can', 562), ('say', 480), ('could', 464), ('looked', 459), ('know', 454), ('may', 397), ('might', 397), ('see', 393), ('go', 387), ('’s', 385), ('come', 375), ('left', 372), ('think', 350), ('tell', 324), ('let', 323), ('went', 312), ('came', 311), ('made', 309), ('shall', 308), ('asked', 307), ('take', 304), ('got', 289), ('took', 288), ('must', 287), ('put', 284), ('should', 244), ('make', 238), ('turned', 223), ('’ll', 221), ('thought', 220), ('told', 216), ('saw', 215), ('found', 210), ('having', 209), ('ca', 208), ('look', 206), ('give', 201), ('heard', 198), ('done', 193), ('passed', 168), ('ask', 166), ('opened', 162), ('leave', 160), ('looking', 158), ('’m', 157), ('seen', 156), ('find', 155)]",20620.0,52174.0,43605.0,18284.0,44704.0,6609.0,36354.0,16230.0,9975.0,9477.0,17419.0,12346.0,32389.0,1712.0,541.0,25.0,16.18,13.863,0.0,322464.0,6.395,16.18,13.522,5.67,13.863,2.05,11.274,5.033,3.093,2.939,5.402,3.829,10.044,0.531,0.168,0.008,0.0
2,Aurora_Floyd,1863,Mary_Elizabeth_Braddon,183016.0,74878.0,40.91336276609695,9425.0,19.42259946949602,0.0759066352756094,0.529467705183726,0.3815194319261148,"[['PROPN', 9662], ['ADV', 10206], ['DET', 27368], ['ADJ', 13795], ['NOUN', 33566], ['VERB', 25284], ['PUNCT', 10576], ['ADP', 20867], ['CCONJ', 7753], ['PRON', 15633], ['AUX', 9771], ['SCONJ', 5435], ['PART', 4237], ['NUM', 1101], ['INTJ', 394], ['X', 56], ['SYM', 2]]","[('man', 506), ('face', 245), ('time', 233), ('eyes', 223), ('hand', 197), ('wife', 193), ('life', 191), ('day', 179), ('room', 171), ('head', 156), ('love', 151), ('captain', 149), ('softy', 149), ('house', 148), ('woman', 141), ('way', 139), ('heart', 129), ('night', 129), ('place', 120), ('people', 115), ('husband', 114), ('talbot', 113), ('conyers', 112), ('years', 110), ('business', 108), ('money', 107), ('one', 107), ('park', 107), ('manner', 105), ('hands', 103), ('letter', 103), ('daughter', 102), ('trainer', 102), ('moment', 99), ('father', 96), ('door', 96), ('name', 95), ('side', 94), ('men', 93), ('hour', 89), ('mind', 89), ('woods', 88), ('auroras', 88), ('morning', 85), ('servants', 84), ('hair', 82), ('creature', 81), ('window', 80), ('girl', 79), ('light', 78)]","[('said', 562), ('would', 553), ('could', 449), ('will', 254), ('might', 239), ('thought', 236), ('can', 234), ('know', 230), ('should', 224), ('looked', 223), ('come', 221), ('made', 212), ('see', 194), ('think', 183), ('tell', 178), ('go', 175), ('must', 167), ('say', 161), ('may', 159), ('asked', 156), ('left', 152), ('s', 150), ('take', 147), ('make', 142), ('answered', 136), ('took', 134), ('ve', 130), ('seemed', 130), ('told', 130), ('came', 130), ('went', 128), ('shall', 128), ('loved', 119), ('found', 114), ('knew', 112), ('done', 112), ('give', 110), ('walked', 106), ('looking', 105), ('let', 104), ('look', 103), ('cried', 98), ('want', 98), ('m', 95), ('turned', 95), ('sat', 94), ('find', 90), ('going', 87), ('seen', 83), ('gone', 83)]",10576.0,33566.0,27368.0,13795.0,25284.0,5435.0,20867.0,9771.0,4237.0,7753.0,10206.0,9662.0,15633.0,1101.0,394.0,56.0,17.151,12.919,2.0,195706.0,5.404,17.151,13.984,7.049,12.919,2.777,10.662,4.993,2.165,3.962,5.215,4.937,7.988,0.563,0.201,0.029,0.001
3,Belinda:A_Novel,1883,Rhoda_Broughton,147937.0,57386.0,38.790836639921054,10248.0,14.100897736143638,0.0928239538442101,0.5342707237189319,0.384540099661844,"[['PROPN', 5341], ['ADP', 14886], ['DET', 18018], ['VERB', 20488], ['NOUN', 23275], ['CCONJ', 4949], ['PUNCT', 11552], ['ADV', 10799], ['SCONJ', 4025], ['AUX', 9313], ['PRON', 15702], ['ADJ', 10336], ['PART', 4134], ['INTJ', 444], ['NUM', 908], ['X', 125]]","[('eyes', 227), ('voice', 212), ('one', 175), ('face', 169), ('time', 165), ('day', 162), ('p.', 158), ('moment', 147), ('hand', 145), ('head', 144), ('rivers', 142), ('room', 129), ('tone', 111), ('life', 109), ('sister', 98), ('heart', 98), ('way', 94), ('words', 94), ('professor', 90), ('door', 87), ('hands', 86), ('air', 83), ('look', 81), ('mind', 79), ('sisters', 79), ('silence', 77), ('cries', 77), ('hour', 77), ('smile', 73), ('man', 72), ('course', 72), ('morning', 69), ('sight', 68), ('night', 66), ('today', 64), ('replies', 63), ('laugh', 63), ('hours', 61), ('people', 59), ('question', 58), ('days', 57), ('window', 56), ('answer', 55), ('breath', 54), ('word', 53), ('sort', 52), ('house', 52), ('minutes', 50), ('fire', 49), ('fact', 48)]","[('says', 577), ('will', 562), ('would', 431), ('can', 393), ('must', 242), ('may', 235), ('come', 223), ('should', 213), ('think', 199), ('could', 182), ('go', 170), ('know', 170), ('see', 153), ('say', 150), ('tell', 137), ('shall', 131), ('look', 125), ('make', 123), ('asks', 121), ('answers', 120), ('going', 113), ('looks', 112), ('gone', 112), ('take', 105), ('seems', 104), ('replies', 103), ('give', 102), ('looking', 101), ('cries', 97), ('might', 94), ('ask', 88), ('having', 86), ('comes', 84), ('ing', 82), ('makes', 77), ('let', 77), ('thought', 75), ('made', 75), ('taken', 71), ('find', 70), ('seen', 69), ('wish', 68), ('repeats', 66), ('left', 65), ('heard', 64), ('done', 63), ('hear', 60), ('suppose', 60), ('speaks', 56), ('told', 55)]",11552.0,23275.0,18018.0,10336.0,20488.0,4025.0,14886.0,9313.0,4134.0,4949.0,10799.0,5341.0,15702.0,908.0,444.0,125.0,15.085,13.278,0.0,154295.0,7.487,15.085,11.678,6.699,13.278,2.609,9.648,6.036,2.679,3.207,6.999,3.462,10.177,0.588,0.288,0.081,0.0
4,Birds_of_Prey,1867,Mary_Elizabeth_Braddon,161547.0,64208.0,39.74570867920791,8357.0,19.33516812253201,0.0838810292970925,0.5264424317294285,0.3761599911020386,"[['PROPN', 8773], ['DET', 23096], ['ADP', 18573], ['PUNCT', 9019], ['PRON', 13952], ['AUX', 9380], ['NOUN', 29719], ['ADJ', 12741], ['VERB', 21333], ['ADV', 8960], ['CCONJ', 6808], ['SCONJ', 4212], ['NUM', 1085], ['PART', 4281], ['INTJ', 427], ['X', 46]]","[('man', 426), ('time', 269), ('life', 233), ('business', 174), ('day', 165), ('way', 164), ('captain', 154), ('years', 152), ('eyes', 140), ('people', 136), ('kind', 133), ('woman', 130), ('money', 129), ('friend', 129), ('face', 122), ('girl', 119), ('men', 118), ('letters', 118), ('house', 115), ('father', 113), ('manner', 109), ('world', 107), ('one', 107), ('thing', 104), ('hand', 103), ('paget', 103), ('brother', 102), ('place', 101), ('days', 100), ('marriage', 100), ('heart', 99), ('letter', 97), ('pounds', 97), ('love', 90), ('morning', 89), ('sheldons', 87), ('work', 87), ('wife', 87), ('mind', 86), ('name', 85), ('person', 82), ('things', 82), ('fortune', 79), ('course', 77), ('husband', 72), ('friends', 71), ('daughter', 69), ('night', 68), ('home', 66), ('idea', 66)]","[('would', 490), ('said', 422), ('could', 327), ('will', 316), ('can', 309), ('know', 279), ('must', 238), ('may', 225), ('think', 218), ('see', 214), ('should', 212), ('might', 193), ('made', 167), ('come', 158), ('found', 157), ('asked', 148), ('shall', 140), ('went', 136), ('s', 135), ('seemed', 133), ('came', 133), ('say', 133), ('take', 132), ('go', 131), ('make', 126), ('tell', 126), ('find', 119), ('told', 116), ('answered', 111), ('looked', 104), ('ve', 102), ('took', 98), ('m', 97), ('going', 95), ('having', 93), ('thought', 92), ('heard', 90), ('left', 89), ('suppose', 89), ('want', 87), ('look', 84), ('give', 84), ('let', 81), ('seems', 77), ('looking', 76), ('sat', 74), ('taken', 72), ('knew', 70), ('set', 65), ('cried', 64)]",9019.0,29719.0,23096.0,12741.0,21333.0,4212.0,18573.0,9380.0,4281.0,6808.0,8960.0,8773.0,13952.0,1085.0,427.0,46.0,17.238,12.374,0.0,172405.0,5.231,17.238,13.396,7.39,12.374,2.443,10.773,5.441,2.483,3.949,5.197,5.089,8.093,0.629,0.248,0.027,0.0
5,Bleak_House,1853,Charles_Dickens,352395.0,127099.0,36.06719732118787,24438.0,14.42352074637859,0.0500168803424865,0.4955298623225287,0.3441845002025836,"[['NOUN', 55629], ['PRON', 39134], ['ADP', 38303], ['PROPN', 20407], ['PUNCT', 21776], ['ADV', 24351], ['CCONJ', 15651], ['DET', 45440], ['VERB', 51615], ['ADJ', 23927], ['SCONJ', 9971], ['AUX', 21041], ['PART', 9582], ['NUM', 1855], ['INTJ', 1435], ['X', 30], ['SYM', 3]]","[('time', 632), ('man', 588), ('lady', 495), ('way', 458), ('head', 418), ('hand', 400), ('guardian', 368), ('day', 358), ('face', 351), ('night', 325), ('house', 310), ('eyes', 287), ('woman', 287), ('friend', 285), ('room', 284), ('place', 258), ('mind', 252), ('dear', 250), ('door', 248), ('life', 245), ('manner', 243), ('name', 220), ('girl', 219), ('child', 207), ('hands', 202), ('sir', 194), ('one', 193), ('business', 189), ('mother', 182), ('boy', 180), ('heart', 180), ('morning', 179), ('people', 174), ('fire', 169), ('family', 168), ('court', 167), ('leicester', 167), ('thing', 166), ('charley', 159), ('years', 156), ('moment', 155), ('case', 155), ('things', 153), ('gentleman', 151), ('trooper', 146), ('times', 139), ('table', 138), ('world', 137), ('love', 137), ('letter', 137)]","[('said', 1738), ('would', 936), ('know', 880), ('says', 874), ('will', 754), ('could', 738), ('say', 685), ('can', 600), ('come', 590), ('should', 580), ('see', 528), ('think', 492), ('may', 484), ('go', 425), ('s', 413), ('made', 391), ('must', 367), ('might', 356), ('looking', 327), ('take', 324), ('thought', 319), ('make', 317), ('came', 317), ('went', 312), ('shall', 282), ('put', 281), ('look', 273), ('going', 270), ('tell', 247), ('got', 244), ('told', 238), ('looked', 237), ('found', 234), ('returned', 232), ('done', 228), ('saw', 219), ('having', 213), ('took', 201), ('heard', 196), ('give', 196), ('find', 192), ('seemed', 191), ('knew', 191), ('seen', 186), ('let', 183), ('looks', 174), ('left', 173), ('brought', 169), ('gone', 162), ('ca', 159)]",21776.0,55629.0,45440.0,23927.0,51615.0,9971.0,38303.0,21041.0,9582.0,15651.0,24351.0,20407.0,39134.0,1855.0,1435.0,30.0,14.633,13.578,3.0,380150.0,5.728,14.633,11.953,6.294,13.578,2.623,10.076,5.535,2.521,4.117,6.406,5.368,10.294,0.488,0.377,0.008,0.001
6,Can_You_Forgive_Her,1864,Anthony_Trollope,314217.0,100115.0,31.86173886199665,21622.0,14.534455647026178,0.0392220390505141,0.4627279049643797,0.302104422934273,"[['PROPN', 16293], ['NOUN', 43128], ['CCONJ', 11747], ['DET', 37488], ['PUNCT', 21319], ['SCONJ', 11786], ['INTJ', 1003], ['PRON', 41217], ['AUX', 24101], ['PART', 10905], ['VERB', 50305], ['ADP', 31635], ['ADJ', 16056], ['NUM', 1881], ['ADV', 22034], ['X', 33], ['SYM', 2]]","[('man', 824), ('alice', 705), ('money', 500), ('way', 389), ('time', 371), ('house', 331), ('men', 309), ('day', 305), ('wife', 299), ('word', 287), ('thing', 282), ('life', 266), ('woman', 258), ('moment', 256), ('room', 253), ('cousin', 252), ('hand', 240), ('vavasor', 239), ('letter', 234), ('captain', 225), ('things', 220), ('friend', 210), ('love', 208), ('words', 208), ('course', 203), ('world', 198), ('lady', 183), ('eyes', 183), ('mind', 183), ('husband', 181), ('matter', 178), ('one', 178), ('morning', 171), ('place', 170), ('people', 163), ('heart', 162), ('aunt', 161), ('father', 159), ('rate', 156), ('truth', 152), ('marriage', 144), ('days', 144), ('night', 144), ('face', 141), ('voice', 122), ('end', 122), ('door', 120), ('name', 119), ('pounds', 118), ('friends', 117)]","[('said', 2396), ('would', 2033), ('should', 1239), ('will', 1010), ('could', 893), ('know', 847), ('think', 844), ('can', 721), ('say', 696), ('might', 686), ('come', 672), ('go', 648), ('made', 578), ('must', 522), ('shall', 477), ('tell', 462), ('see', 448), ('make', 447), ('s', 427), ('may', 416), ('told', 413), ('knew', 407), ('thought', 394), ('went', 366), ('done', 358), ('take', 337), ('came', 315), ('give', 288), ('going', 280), ('m', 268), ('put', 250), ('left', 247), ('got', 241), ('asked', 236), ('let', 231), ('suppose', 206), ('wo', 202), ('found', 196), ('believe', 192), ('wish', 192), ('want', 192), ('mean', 191), ('felt', 187), ('having', 185), ('ve', 182), ('gone', 182), ('speak', 179), ('like', 178), ('heard', 173), ('look', 167)]",21319.0,43128.0,37488.0,16056.0,50305.0,11786.0,31635.0,24101.0,10905.0,11747.0,22034.0,16293.0,41217.0,1881.0,1003.0,33.0,12.65,14.755,2.0,340933.0,6.253,12.65,10.996,4.709,14.755,3.457,9.279,7.069,3.199,3.446,6.463,4.779,12.089,0.552,0.294,0.01,0.001
7,Cecil_or_The_Adventures_of_a_Coxcomb,1841,Catherine_Gore,149184.0,64390.0,43.16146503646504,7648.0,19.383498953974897,0.1206208122521537,0.5637052983994336,0.4306457705131664,"[['PROPN', 9049], ['PUNCT', 9832], ['PRON', 10433], ['ADJ', 10503], ['PART', 3681], ['VERB', 17872], ['DET', 21884], ['NOUN', 29418], ['ADP', 19004], ['SCONJ', 4369], ['ADV', 7186], ['AUX', 7182], ['CCONJ', 4815], ['NUM', 823], ['X', 156], ['INTJ', 121], ['SYM', 2]]","[('man', 242), ('danby', 167), ('life', 161), ('time', 151), ('eyes', 140), ('world', 134), ('way', 133), ('day', 131), ('night', 131), ('people', 111), ('lady', 105), ('mother', 103), ('one', 99), ('years', 98), ('place', 97), ('woman', 96), ('house', 94), ('moment', 94), ('hand', 90), ('family', 87), ('mind', 86), ('thing', 83), ('brother', 82), ('nature', 77), ('soul', 77), ('heart', 74), ('name', 72), ('face', 70), ('men', 69), ('days', 69), ('part', 68), ('country', 64), ('girl', 64), ('times', 63), ('town', 62), ('son', 60), ('things', 60), ('room', 60), ('head', 59), ('father', 59), ('society', 57), ('course', 54), ('child', 53), ('beauty', 52), ('hands', 52), ('word', 52), ('air', 52), ('fellow', 51), ('daughter', 51), ('year', 51)]","[('would', 379), ('could', 250), ('said', 218), ('should', 199), ('might', 180), ('will', 175), ('must', 136), ('having', 121), ('made', 120), ('see', 114), ('seemed', 110), ('know', 104), ('saw', 102), ('say', 101), ('found', 100), ('may', 95), ('make', 90), ('can', 89), ('take', 84), ('cried', 84), ('knew', 73), ('shall', 66), ('come', 66), ('felt', 65), ('find', 63), ('seen', 62), ('go', 60), ('look', 58), ('looked', 56), ('heard', 55), ('called', 50), ('used', 49), ('let', 49), ('thought', 49), ('left', 48), ('took', 48), ('came', 47), ('done', 46), ('become', 45), ('give', 45), ('taken', 44), ('began', 43), ('became', 41), ('replied', 41), ('put', 40), ('think', 39), ('went', 39), ('call', 37), ('stood', 37), ('hear', 37)]",9832.0,29418.0,21884.0,10503.0,17872.0,4369.0,19004.0,7182.0,3681.0,4815.0,7186.0,9049.0,10433.0,823.0,121.0,156.0,18.818,11.432,2.0,156330.0,6.289,18.818,13.999,6.718,11.432,2.795,12.156,4.594,2.355,3.08,4.597,5.788,6.674,0.526,0.077,0.1,0.001
8,Children_of_the_Ghetto:A_Study_of_Peculiar_People,1892,Israel_Zangwill,194135.0,81066.0,41.757539856285575,15072.0,12.884753184713375,0.0879669203596329,0.5435693214729294,0.4015611085385515,"[['INTJ', 1258], ['PUNCT', 15421], ['PART', 5137], ['ADV', 11603], ['ADP', 21322], ['DET', 26707], ['PROPN', 11121], ['NOUN', 35587], ['CCONJ', 7079], ['ADJ', 13986], ['PRON', 17855], ['VERB', 29144], ['AUX', 10542], ['SCONJ', 3878], ['NUM', 1052], ['X', 48]]","[('man', 325), ('esther', 303), ('face', 219), ('head', 195), ('eyes', 185), ('life', 181), ('time', 180), ('day', 174), ('father', 167), ('hand', 163), ('world', 149), ('men', 149), ('people', 146), ('mother', 137), ('children', 136), ('things', 131), ('way', 123), ('room', 111), ('money', 108), ('paper', 108), ('years', 107), ('law', 105), ('woman', 105), ('one', 100), ('heart', 98), ('moment', 98), ('night', 95), ('family', 95), ('door', 95), ('days', 92), ('name', 91), ('hands', 90), ('soul', 90), ('girl', 89), ('wife', 88), ('smile', 83), ('judaism', 83), ('week', 79), ('thing', 77), ('religion', 77), ('ghetto', 76), ('end', 76), ('sense', 76), ('poet', 75), ('love', 75), ('voice', 74), ('synagogue', 72), ('work', 72), ('air', 71), ('book', 70)]","[('said', 1555), ('would', 605), ('will', 471), ('know', 375), ('could', 374), ('can', 311), ('see', 311), ('must', 280), ('shall', 265), ('go', 264), ('s', 248), ('come', 224), ('should', 223), ('say', 206), ('made', 202), ('think', 199), ('came', 181), ('make', 169), ('went', 164), ('take', 164), ('let', 153), ('m', 147), ('put', 144), ('give', 141), ('got', 140), ('looked', 133), ('look', 127), ('going', 126), ('might', 124), ('took', 122), ('asked', 120), ('knew', 117), ('thought', 117), ('may', 115), ('ve', 114), ('felt', 111), ('cried', 111), ('ca', 110), ('tell', 109), ('re', 108), ('want', 107), ('seemed', 106), ('gave', 97), ('read', 94), ('found', 93), ('turned', 90), ('told', 89), ('write', 84), ('left', 81), ('marry', 79)]",15421.0,35587.0,26707.0,13986.0,29144.0,3878.0,21322.0,10542.0,5137.0,7079.0,11603.0,11121.0,17855.0,1052.0,1258.0,48.0,16.807,13.764,0.0,211740.0,7.283,16.807,12.613,6.605,13.764,1.831,10.07,4.979,2.426,3.343,5.48,5.252,8.433,0.497,0.594,0.023,0.0
9,Daniel_Deronda,1876,George_Eliot,308760.0,111796.0,36.20805803860604,16387.0,18.85134557881248,0.0577387464959245,0.5217290379894892,0.3695155378966498,"[['PUNCT', 17407], ['NOUN', 51702], ['VERB', 46909], ['AUX', 20543], ['PRON', 30979], ['ADP', 36032], ['DET', 40945], ['ADV', 17651], ['ADJ', 21947], ['PART', 9537], ['CCONJ', 11617], ['SCONJ', 9005], ['PROPN', 11874], ['NUM', 1162], ['INTJ', 724], ['X', 36]]","[('life', 464), ('way', 384), ('mother', 374), ('man', 336), ('time', 307), ('mind', 306), ('eyes', 304), ('face', 275), ('things', 252), ('sort', 236), ('words', 236), ('father', 232), ('world', 224), ('hand', 218), ('people', 216), ('one', 210), ('deronda', 208), ('sense', 200), ('men', 193), ('feeling', 192), ('moment', 178), ('tone', 175), ('love', 170), ('woman', 167), ('day', 166), ('hands', 160), ('voice', 159), ('part', 156), ('head', 156), ('hans', 147), ('husband', 142), ('others', 140), ('years', 138), ('place', 133), ('heart', 129), ('family', 126), ('marriage', 125), ('fact', 121), ('side', 121), ('question', 121), ('thought', 121), ('children', 120), ('room', 119), ('lady', 117), ('brother', 117), ('reason', 116), ('effect', 114), ('soul', 113), ('speech', 113), ('house', 111)]","[('said', 2127), ('would', 1451), ('will', 929), ('could', 885), ('should', 634), ('might', 630), ('made', 561), ('must', 504), ('can', 489), ('know', 466), ('felt', 443), ('think', 436), ('come', 426), ('make', 425), ('seemed', 423), ('see', 390), ('say', 390), ('go', 381), ('may', 344), ('shall', 342), ('thought', 295), ('came', 283), ('take', 277), ('looked', 275), ('going', 256), ('let', 250), ('went', 249), ('having', 236), ('looking', 236), ('like', 228), ('tell', 226), ('turned', 224), ('put', 208), ('feel', 207), ('found', 198), ('give', 192), ('saw', 178), ('knew', 168), ('look', 167), ('seen', 165), ('took', 161), ('taken', 158), ('done', 155), ('speak', 154), ('find', 151), ('left', 151), ('gave', 144), ('got', 140), ('ca', 138), ('began', 138)]",17407.0,51702.0,40945.0,21947.0,46909.0,9005.0,36032.0,20543.0,9537.0,11617.0,17651.0,11874.0,30979.0,1162.0,724.0,36.0,15.759,14.298,0.0,328070.0,5.306,15.759,12.481,6.69,14.298,2.745,10.983,6.262,2.907,3.541,5.38,3.619,9.443,0.354,0.221,0.011,0.0
