,filename,id,language,book_year,author_name,book_title,gender,person,length,sentences_count,average_words_per_sentence,words_count_stopless,words_count_stopped,percentage_stopped_of_stoppless,full_text_ttr,mattr_500,mattr_2000,all_pos_counts,50_most_common_nouns,50_most_common_verbs,POS_SPACE,POS_NOUN,POS_PART,POS_PRON,POS_AUX,POS_VERB,POS_DET,POS_ADP,POS_CCONJ,POS_NUM,POS_ADJ,POS_ADV,POS_PROPN,POS_PUNCT,POS_SCONJ,POS_INTJ,noun_percentage,verb_and_aux_percentage,POS_X,POS_SYM,parts_of_speech_total_count,%POS_SPACE,%POS_NOUN,%POS_PART,%POS_PRON,%POS_AUX,%POS_VERB,%POS_DET,%POS_ADP,%POS_CCONJ,%POS_NUM,%POS_ADJ,%POS_ADV,%POS_PROPN,%POS_PUNCT,%POS_SCONJ,%POS_INTJ,%POS_X,%POS_SYM
0,"EN_1771_Mackenzie,Henry_TheManofFeeling_Novel.txt",151,English,1771,"Mackenzie,Henry",TheManofFeeling,male,first,36458,1706,21.40973036342321,36466.0,13450.0,36.88367246201942,0.1401741225428462,0.5131102784023251,0.3686381817128629,"[['SPACE', 1], ['NOUN', 7100], ['PART', 1078], ['PRON', 5826], ['AUX', 2552], ['VERB', 4924], ['DET', 3798], ['ADP', 4600], ['CCONJ', 1246], ['NUM', 172], ['ADJ', 2113], ['ADV', 1643], ['PROPN', 702], ['PUNCT', 2389], ['SCONJ', 924], ['INTJ', 43]]","[('man', 107), ('harley', 98), ('time', 69), ('father', 60), ('hand', 54), ('world', 51), ('gentleman', 50), ('heart', 42), ('friend', 38), ('sir', 38), ('house', 36), ('room', 30), ('face', 30), ('virtue', 29), ('children', 28), ('son', 28), ('daughter', 27), ('country', 26), ('life', 25), ('lady', 25), ('part', 25), ('way', 25), ('door', 24), ('tears', 24), ('honour', 24), ('look', 23), ('mind', 22), ('times', 22), ('chapter', 22), ('place', 21), ('nature', 21), ('family', 21), ('boy', 21), ('stranger', 21), ('eye', 21), ('money', 21), ('master', 20), ('sort', 19), ('things', 19), ('friends', 19), ('aunt', 19), ('acquaintance', 19), ('ground', 19), ('curate', 18), ('state', 18), ('day', 18), ('tis', 18), ('happiness', 18), ('power', 18), ('night', 18)]","[('said', 177), ('had', 116), ('have', 55), ('made', 46), ('let', 38), ('left', 34), ('took', 34), ('was', 33), ('told', 33), ('know', 33), ('make', 33), ('stood', 32), ('found', 31), ('looked', 29), ('see', 28), ('take', 27), ('saw', 26), ('began', 26), ('turned', 26), ('lost', 25), ('give', 25), ('sat', 24), ('answered', 24), ('thought', 24), ('lay', 23), ('observed', 21), ('came', 21), ('think', 21), ('called', 20), ('put', 20), ('leave', 20), ('tell', 20), ('is', 19), ('are', 19), ('heard', 19), ('led', 18), ('did', 18), ('say', 17), ('seemed', 17), ('set', 17), ('walked', 17), ('come', 17), ('look', 16), ('went', 16), ('believe', 16), ('returned', 16), ('replied', 16), ('pressed', 15), ('laid', 15), ('gave', 15)]",1.0,7100.0,1078.0,5826.0,2552.0,4924.0,3798.0,4600.0,1246.0,172.0,2113.0,1643.0,702.0,2389.0,924.0,43.0,18.153,12.59,0.0,0.0,39111.0,0.003,18.153,2.756,14.896,6.525,12.59,9.711,11.761,3.186,0.44,5.403,4.201,1.795,6.108,2.363,0.11,0.0,0.0
1,"EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel.txt",152,English,1771,"Smollett,Tobias",TheExpedictionofHenryClinker,male,first,148261,4046,36.80375679683638,148342.0,58767.0,39.61588761106093,0.0963387772644246,0.5488645064784617,0.4068354876695815,"[['DET', 16161], ['NOUN', 31025], ['ADP', 19426], ['PROPN', 3773], ['PUNCT', 7237], ['ADJ', 10369], ['PRON', 19040], ['AUX', 9556], ['VERB', 18494], ['ADV', 6469], ['SCONJ', 4076], ['CCONJ', 6687], ['PART', 3685], ['X', 48], ['INTJ', 168], ['NUM', 1066]]","[('time', 214), ('man', 170), ('uncle', 169), ('house', 168), ('place', 148), ('country', 147), ('way', 140), ('day', 132), ('company', 128), ('life', 127), ('part', 125), ('family', 120), ('friend', 113), ('gentleman', 113), ('person', 112), ('people', 107), ('clinker', 103), ('bath', 101), ('heart', 92), ('water', 91), ('squire', 89), ('honour', 83), ('fortune', 82), ('name', 81), ('years', 81), ('thing', 79), ('hand', 78), ('character', 78), ('lady', 77), ('head', 75), ('aunt', 74), ('nature', 73), ('manner', 71), ('sister', 70), ('eyes', 68), ('brother', 68), ('fellow', 67), ('side', 67), ('case', 66), ('appearance', 65), ('occasion', 64), ('room', 63), ('pounds', 62), ('order', 59), ('service', 59), ('spirit', 59), ('night', 59), ('air', 57), ('master', 56), ('number', 55)]","[('have', 327), ('had', 302), ('said', 275), ('made', 229), ('make', 189), ('know', 178), ('take', 142), ('think', 128), ('give', 121), ('found', 117), ('find', 113), ('see', 113), ('is', 102), ('seen', 91), ('has', 90), ('was', 90), ('taken', 88), ('cried', 88), ('put', 86), ('say', 85), ('took', 81), ('told', 79), ('received', 78), ('go', 77), ('seemed', 76), ('called', 76), ('believe', 74), ('come', 73), ('seems', 69), ('came', 69), ('left', 68), ('went', 65), ('gave', 65), ('began', 65), ('brought', 62), ('obliged', 61), ('got', 61), ('set', 61), ('keep', 57), ('hope', 54), ('given', 54), ('do', 53), ('going', 52), ('let', 52), ('sent', 48), ('observed', 47), ('passed', 45), ('tell', 45), ('turned', 45), ('resolved', 45)]",0.0,31025.0,3685.0,19040.0,9556.0,18494.0,16161.0,19426.0,6687.0,1066.0,10369.0,6469.0,3773.0,7237.0,4076.0,168.0,19.726,11.759,48.0,0.0,157280.0,0.0,19.726,2.343,12.106,6.076,11.759,10.275,12.351,4.252,0.678,6.593,4.113,2.399,4.601,2.592,0.107,0.031,0.0
2,"EN_1778_Burney,Fanny_Evelina_Novel.txt",153,English,1778,"Burney,Fanny",Evelina,female,first,154168,8796,17.597089586175535,154207.0,56522.0,36.65332961538711,0.0563658295865774,0.5068740907560989,0.3407535942074236,"[['PROPN', 7566], ['CCONJ', 5728], ['DET', 11423], ['NOUN', 22810], ['ADP', 14697], ['ADJ', 9046], ['PUNCT', 9711], ['INTJ', 585], ['PRON', 27275], ['ADV', 10810], ['VERB', 23175], ['SCONJ', 5345], ['AUX', 11664], ['PART', 5443], ['NUM', 528], ['X', 65]]","[('sir', 346), ('time', 311), ('duval', 282), ('lady', 232), ('captain', 229), ('man', 192), ('letter', 191), ('clement', 177), ('room', 146), ('moment', 139), ('life', 124), ('hand', 116), ('thing', 115), ('way', 114), ('party', 108), ('child', 106), ('morning', 105), ('place', 103), ('honour', 103), ('world', 102), ('house', 102), ('ladies', 101), ('manner', 101), ('company', 99), ('conversation', 98), ('heart', 96), ('mind', 91), ('subject', 88), ('madame', 87), ('stairs', 86), ('voice', 84), ('answer', 80), ('situation', 77), ('town', 77), ('friend', 75), ('person', 74), ('word', 74), ('part', 72), ('reason', 70), ('name', 68), ('power', 68), ('lordship', 68), ('means', 67), ('pleasure', 67), ('eyes', 66), ('opinion', 66), ('evening', 66), ('woman', 65), ('father', 65), ('daughter', 63)]","[('said', 759), ('cried', 479), ('have', 377), ('know', 323), ('had', 292), ('think', 269), ('see', 250), ('make', 235), ('made', 232), ('go', 212), ('tell', 169), ('answered', 161), ('say', 160), ('take', 153), ('do', 152), ('believe', 151), ('thought', 140), ('give', 137), ('miss', 130), ('hope', 119), ('speak', 119), ('seemed', 118), ('saw', 117), ('come', 109), ('let', 108), ('told', 105), ('suppose', 103), ('came', 103), ('s', 103), ('find', 100), ('left', 99), ('leave', 96), ('wish', 96), ('has', 95), ('went', 95), ('found', 92), ('took', 89), ('seen', 87), ('pray', 86), ('called', 85), ('heard', 84), ('hear', 84), ('returned', 83), ('m', 78), ('put', 76), ('going', 74), ('knew', 73), ('seems', 69), ('own', 68), ('turned', 64)]",0.0,22810.0,5443.0,27275.0,11664.0,23175.0,11423.0,14697.0,5728.0,528.0,9046.0,10810.0,7566.0,9711.0,5345.0,585.0,13.752,13.972,65.0,0.0,165871.0,0.0,13.752,3.281,16.444,7.032,13.972,6.887,8.861,3.453,0.318,5.454,6.517,4.561,5.855,3.222,0.353,0.039,0.0
3,"EN_1782_Burney,Fanny_Cecilia_Novel.txt",154,English,1782,"Burney,Fanny",Cecilia,female,third,328981,14427,22.851667013239062,329111.0,121105.0,36.79761539419831,0.0366031633337277,0.5134806405542384,0.3524310311669761,"[['NOUN', 52635], ['CCONJ', 14114], ['ADP', 34713], ['DET', 25047], ['ADJ', 20812], ['PROPN', 10188], ['PUNCT', 18834], ['PRON', 54048], ['VERB', 49289], ['AUX', 23171], ['SCONJ', 10114], ['PART', 11420], ['INTJ', 1110], ['ADV', 22976], ['NUM', 1089], ['X', 24]]","[('cecilia', 1303), ('delvile', 609), ('time', 604), ('lady', 435), ('man', 414), ('house', 388), ('moment', 332), ('thing', 325), ('way', 310), ('room', 303), ('mind', 292), ('sir', 286), ('world', 283), ('life', 260), ('heart', 249), ('son', 236), ('morning', 229), ('mother', 224), ('family', 209), ('power', 208), ('pleasure', 208), ('honour', 203), ('day', 199), ('situation', 189), ('friend', 176), ('gentleman', 173), ('place', 172), ('hand', 162), ('happiness', 158), ('reason', 156), ('fortune', 151), ('money', 148), ('business', 147), ('answer', 143), ('character', 142), ('sight', 141), ('letter', 141), ('father', 140), ('part', 137), ('harrel', 137), ('name', 136), ('conversation', 134), ('town', 133), ('company', 133), ('voice', 132), ('head', 125), ('ladies', 124), ('affairs', 120), ('means', 119), ('manner', 119)]","[('said', 1209), ('cried', 1096), ('had', 715), ('have', 657), ('know', 513), ('made', 500), ('make', 489), ('see', 469), ('think', 460), ('answered', 392), ('thought', 322), ('do', 322), ('say', 315), ('give', 314), ('go', 310), ('take', 308), ('come', 306), ('found', 284), ('tell', 260), ('s', 252), ('knew', 247), ('came', 246), ('hear', 241), ('seemed', 240), ('let', 235), ('find', 228), ('saw', 226), ('heard', 220), ('returned', 214), ('told', 209), ('speak', 208), ('left', 205), ('went', 199), ('believe', 193), ('gave', 191), ('miss', 187), ('called', 180), ('hope', 179), ('continued', 175), ('wish', 172), ('has', 167), ('mean', 166), ('took', 156), ('received', 155), ('going', 153), ('making', 150), ('done', 149), ('put', 146), ('gone', 141), ('passed', 138)]",0.0,52635.0,11420.0,54048.0,23171.0,49289.0,25047.0,34713.0,14114.0,1089.0,20812.0,22976.0,10188.0,18834.0,10114.0,1110.0,15.056,14.099,24.0,0.0,349584.0,0.0,15.056,3.267,15.461,6.628,14.099,7.165,9.93,4.037,0.312,5.953,6.572,2.914,5.388,2.893,0.318,0.007,0.0
4,"EN_1786_Beckford,William_Vathek_Novel.txt",155,English,1786,"Beckford,William",Vathek,male,third,36077,1651,21.85402786190188,36077.0,15159.0,42.018460515009565,0.1605554169784651,0.5617034455623955,0.4169001085616963,"[['PROPN', 514], ['PUNCT', 1929], ['DET', 4290], ['ADJ', 2415], ['NOUN', 7855], ['ADP', 4899], ['PRON', 4358], ['AUX', 1807], ['CCONJ', 1411], ['VERB', 5052], ['PART', 897], ['SCONJ', 757], ['NUM', 212], ['ADV', 1613], ['INTJ', 45], ['X', 6]]","[('caliph', 145), ('p.', 134), ('carathis', 74), ('thou', 52), ('eyes', 45), ('palace', 45), ('bababalouk', 45), ('time', 43), ('gulchenrouz', 38), ('giaour', 36), ('heart', 35), ('tower', 33), ('eunuchs', 33), ('emir', 33), ('length', 32), ('air', 30), ('hands', 28), ('rest', 28), ('night', 27), ('voice', 27), ('moment', 27), ('fire', 27), ('water', 26), ('hand', 25), ('place', 25), ('dwarfs', 25), ('way', 24), ('sight', 23), ('light', 23), ('son', 22), ('earth', 21), ('morakanabad', 21), ('women', 20), ('mountains', 20), ('words', 20), ('one', 20), ('view', 19), ('prince', 19), ('art', 19), ('ground', 19), ('person', 18), ('day', 18), ('hath', 18), ('mountain', 18), ('head', 17), ('days', 17), ('others', 16), ('man', 16), ('mother', 16), ('power', 16)]","[('said', 72), ('had', 43), ('let', 40), ('began', 40), ('brought', 30), ('heard', 29), ('made', 27), ('come', 27), ('fell', 26), ('appeared', 26), ('went', 25), ('came', 22), ('replied', 22), ('go', 22), ('cried', 21), ('seemed', 20), ('set', 20), ('answered', 20), ('found', 19), ('have', 19), ('vathek', 19), ('take', 18), ('lost', 18), ('took', 18), ('make', 17), ('remained', 17), ('left', 17), ('commanded', 16), ('arrived', 16), ('ordered', 16), ('turned', 16), ('followed', 16), ('became', 15), ('know', 15), ('see', 15), ('taken', 15), ('gave', 14), ('caused', 14), ('passed', 14), ('continued', 14), ('placed', 14), ('felt', 14), ('filled', 14), ('fixed', 13), ('called', 13), ('resolved', 13), ('arose', 13), ('gone', 13), ('reached', 13), ('put', 13)]",0.0,7855.0,897.0,4358.0,1807.0,5052.0,4290.0,4899.0,1411.0,212.0,2415.0,1613.0,514.0,1929.0,757.0,45.0,20.638,13.274,6.0,0.0,38060.0,0.0,20.638,2.357,11.45,4.748,13.274,11.272,12.872,3.707,0.557,6.345,4.238,1.35,5.068,1.989,0.118,0.016,0.0
5,"EN_1788_Wollstonecraft,Mary_Mary_Novel.txt",156,English,1788,"Wollstonecraft,Mary",Mary,female,third,23275,1058,22.046313799621927,23275.0,9539.0,40.98388829215897,0.1734825102880658,0.5437409435367463,0.3953560645130984,"[['PROPN', 362], ['DET', 2260], ['NOUN', 4517], ['PUNCT', 1804], ['CCONJ', 1038], ['VERB', 3591], ['X', 4], ['ADP', 2510], ['PART', 805], ['ADJ', 1650], ['PRON', 3398], ['ADV', 1122], ['AUX', 1532], ['SCONJ', 566], ['NUM', 91], ['INTJ', 21]]","[('mind', 66), ('heart', 59), ('mother', 44), ('world', 35), ('soul', 34), ('day', 33), ('eyes', 30), ('chap', 30), ('time', 30), ('friend', 26), ('man', 25), ('life', 24), ('nature', 23), ('love', 22), ('health', 21), ('state', 21), ('thoughts', 21), ('woman', 20), ('kind', 20), ('father', 20), ('way', 19), ('tears', 19), ('thing', 19), ('affection', 19), ('comfort', 18), ('husband', 18), ('account', 17), ('night', 17), ('room', 17), ('happiness', 17), ('death', 16), ('house', 16), ('reason', 16), ('conversation', 16), ('spirit', 15), ('hand', 15), ('one', 15), ('bed', 15), ('child', 15), ('family', 15), ('affections', 15), ('part', 14), ('passions', 14), ('person', 14), ('feelings', 14), ('spirits', 13), ('creature', 13), ('ann', 13), ('misery', 13), ('voice', 12)]","[('had', 62), ('made', 53), ('gave', 32), ('thought', 27), ('left', 26), ('found', 25), ('wished', 24), ('have', 23), ('said', 23), ('saw', 22), ('felt', 21), ('began', 21), ('heard', 21), ('sent', 19), ('went', 19), ('read', 18), ('knew', 18), ('came', 18), ('see', 17), ('make', 16), ('do', 16), ('looked', 16), ('tell', 15), ('feel', 15), ('took', 15), ('receive', 15), ('lost', 14), ('passed', 14), ('called', 14), ('tried', 14), ('think', 14), ('wish', 14), ('returned', 14), ('live', 13), ('love', 13), ('visit', 13), ('caught', 13), ('take', 13), ('added', 13), ('give', 12), ('say', 12), ('appeared', 12), ('seemed', 12), ('obliged', 11), ('find', 11), ('was', 11), ('go', 11), ('brought', 11), ('loved', 11), ('forgot', 11)]",0.0,4517.0,805.0,3398.0,1532.0,3591.0,2260.0,2510.0,1038.0,91.0,1650.0,1122.0,362.0,1804.0,566.0,21.0,17.874,14.21,4.0,0.0,25271.0,0.0,17.874,3.185,13.446,6.062,14.21,8.943,9.932,4.107,0.36,6.529,4.44,1.432,7.139,2.24,0.083,0.016,0.0
6,"EN_1790_Radcliffe,Ann_ASicilianRomance_Novel.txt",157,English,1790,"Radcliffe,Ann",ASicilianRomance,female,third,67455,2942,22.9530931339225,67455.0,28758.0,42.63286635534801,0.0893787753168305,0.515841211126876,0.3737468990769717,"[['DET', 8202], ['ADJ', 4269], ['NOUN', 14087], ['ADP', 8616], ['PROPN', 1327], ['ADV', 3100], ['AUX', 3445], ['PART', 1532], ['VERB', 9792], ['PRON', 8469], ['PUNCT', 3704], ['CCONJ', 2982], ['SCONJ', 1595], ['NUM', 134], ['X', 62], ['INTJ', 42], ['SYM', 1]]","[('door', 150), ('marquis', 148), ('heart', 140), ('time', 124), ('castle', 118), ('ferdinand', 97), ('mind', 94), ('marchioness', 94), ('length', 94), ('night', 92), ('duke', 86), ('madame', 74), ('light', 65), ('place', 64), ('moment', 63), ('scene', 62), ('part', 61), ('sound', 60), ('abate', 59), ('power', 58), ('day', 57), ('people', 57), ('count', 56), ('father', 55), ('silence', 52), ('person', 52), ('monastery', 51), ('situation', 50), ('eyes', 50), ('air', 49), ('terror', 49), ('voice', 48), ('room', 48), ('life', 47), ('distress', 47), ('apartment', 45), ('circumstance', 45), ('hand', 44), ('lady', 43), ('joy', 43), ('evening', 42), ('countenance', 41), ('steps', 41), ('appearance', 40), ('way', 40), ('death', 39), ('words', 39), ('hour', 37), ('fear', 37), ('sounds', 37)]","[('had', 110), ('said', 99), ('heard', 95), ('appeared', 89), ('seemed', 76), ('discovered', 74), ('found', 66), ('entered', 64), ('passed', 60), ('returned', 59), ('made', 54), ('perceived', 54), ('quitted', 50), ('seen', 46), ('opened', 44), ('sunk', 41), ('endeavoured', 40), ('arose', 40), ('left', 39), ('observed', 37), ('followed', 36), ('received', 36), ('saw', 36), ('reached', 36), ('continued', 33), ('ferdinand', 33), ('stood', 32), ('lost', 32), ('led', 31), ('knew', 31), ('determined', 31), ('increased', 31), ('resolved', 31), ('concealed', 30), ('remained', 30), ('drew', 30), ('gave', 29), ('listened', 29), ('occasioned', 29), ('formed', 28), ('concerning', 28), ('became', 28), ('excited', 27), ('thought', 26), ('retired', 26), ('repeated', 26), ('struck', 26), ('descended', 26), ('suffer', 26), ('came', 25)]",0.0,14087.0,1532.0,8469.0,3445.0,9792.0,8202.0,8616.0,2982.0,134.0,4269.0,3100.0,1327.0,3704.0,1595.0,42.0,19.741,13.722,62.0,1.0,71359.0,0.0,19.741,2.147,11.868,4.828,13.722,11.494,12.074,4.179,0.188,5.982,4.344,1.86,5.191,2.235,0.059,0.087,0.001
7,"EN_1794_Godwin,William_CalebWilliams_Novel.txt",158,English,1794,"Godwin,William",CalebWilliams,male,first,143832,8132,17.700811608460402,143841.0,52234.0,36.3137074964718,0.0675716985326811,0.5035931733095087,0.3645164368698942,"[['PROPN', 3331], ['CCONJ', 5576], ['NOUN', 26474], ['SCONJ', 4227], ['PRON', 21830], ['AUX', 11159], ['ADP', 18177], ['DET', 14370], ['PUNCT', 8600], ['VERB', 17763], ['PART', 4380], ['ADV', 6904], ['ADJ', 9799], ['NUM', 712], ['INTJ', 181], ['X', 2]]","[('man', 365), ('mind', 317), ('time', 309), ('life', 155), ('thing', 144), ('person', 142), ('part', 137), ('day', 134), ('situation', 129), ('heart', 129), ('world', 127), ('moment', 127), ('way', 111), ('means', 105), ('men', 100), ('place', 98), ('power', 95), ('sort', 94), ('manner', 91), ('purpose', 87), ('nature', 84), ('character', 82), ('persons', 82), ('degree', 80), ('justice', 80), ('case', 80), ('house', 79), ('story', 78), ('idea', 77), ('reason', 74), ('state', 74), ('circumstances', 73), ('honour', 68), ('scene', 67), ('length', 65), ('death', 65), ('appearance', 63), ('thoughts', 63), ('occasion', 62), ('soul', 61), ('hand', 60), ('hours', 59), ('sir', 59), ('subject', 57), ('times', 57), ('room', 57), ('things', 56), ('end', 56), ('kindness', 56), ('door', 56)]","[('had', 379), ('have', 238), ('said', 172), ('found', 153), ('made', 147), ('know', 137), ('seemed', 133), ('think', 129), ('do', 128), ('make', 124), ('was', 106), ('felt', 101), ('see', 101), ('thought', 101), ('take', 98), ('come', 91), ('done', 87), ('appeared', 87), ('give', 84), ('brought', 78), ('saw', 72), ('say', 70), ('find', 70), ('entered', 68), ('came', 66), ('determined', 66), ('left', 66), ('put', 65), ('go', 63), ('took', 63), ('told', 61), ('believe', 61), ('tell', 60), ('conceived', 59), ('received', 57), ('went', 56), ('heard', 56), ('taken', 56), ('passed', 55), ('knew', 55), ('became', 54), ('set', 49), ('began', 48), ('proceeded', 48), ('given', 48), ('gave', 47), ('feel', 47), ('let', 44), ('led', 43), ('is', 43)]",0.0,26474.0,4380.0,21830.0,11159.0,17763.0,14370.0,18177.0,5576.0,712.0,9799.0,6904.0,3331.0,8600.0,4227.0,181.0,17.249,11.573,2.0,0.0,153485.0,0.0,17.249,2.854,14.223,7.27,11.573,9.362,11.843,3.633,0.464,6.384,4.498,2.17,5.603,2.754,0.118,0.001,0.0
8,"EN_1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel.txt",159,English,1794,"Radcliffe,Ann",TheMysteriesofUdolpho,female,third,290334,11243,25.84861691719292,290335.0,113195.0,38.98772108082043,0.0390131305104627,0.5092922900916352,0.3557624420674902,"[['DET', 29635], ['NOUN', 53813], ['ADP', 33588], ['VERB', 43305], ['PROPN', 5520], ['ADJ', 17370], ['CCONJ', 12657], ['SCONJ', 9419], ['PART', 8266], ['PRON', 40651], ['PUNCT', 14509], ['AUX', 18233], ['ADV', 18210], ['NUM', 620], ['INTJ', 538], ['X', 59]]","[('montoni', 624), ('count', 396), ('mind', 382), ('time', 361), ('castle', 355), ('night', 349), ('door', 329), ('voice', 311), ('aubert', 293), ('heart', 289), ('moment', 280), ('valancourt', 280), ('lady', 279), ('length', 277), ('chamber', 272), ('room', 251), ('woods', 238), ('chateau', 226), ('eyes', 225), ('countenance', 220), ('air', 218), ('person', 218), ('man', 213), ('spirits', 212), ('way', 212), ('evening', 201), ('scene', 199), ('tears', 198), ('subject', 198), ('silence', 193), ('aunt', 191), ('hour', 183), ('light', 182), ('part', 174), ('mountains', 169), ('apartment', 169), ('place', 168), ('father', 166), ('hand', 166), ('distance', 161), ('signor', 158), ('circumstances', 156), ('day', 150), ('steps', 145), ('music', 138), ('conduct', 135), ('sound', 134), ('blanche', 132), ('conversation', 126), ('family', 124)]","[('said', 1302), ('heard', 517), ('had', 436), ('appeared', 371), ('seemed', 332), ('passed', 317), ('made', 315), ('see', 302), ('replied', 273), ('know', 271), ('came', 265), ('saw', 264), ('thought', 261), ('seen', 255), ('have', 252), ('looked', 248), ('returned', 214), ('left', 208), ('go', 207), ('valancourt', 202), ('say', 192), ('tell', 191), ('let', 188), ('come', 182), ('gave', 175), ('found', 174), ('believe', 167), ('concerning', 164), ('hear', 163), ('knew', 161), ('continued', 159), ('observed', 157), ('think', 157), ('perceived', 157), ('leave', 154), ('went', 153), ('opened', 149), ('told', 149), ('felt', 146), ('called', 143), ('look', 141), ('listened', 137), ('sat', 137), ('speak', 135), ('received', 135), ('do', 135), ('lost', 132), ('added', 131), ('endeavoured', 128), ('rose', 127)]",0.0,53813.0,8266.0,40651.0,18233.0,43305.0,29635.0,33588.0,12657.0,620.0,17370.0,18210.0,5520.0,14509.0,9419.0,538.0,17.563,14.134,59.0,0.0,306393.0,0.0,17.563,2.698,13.268,5.951,14.134,9.672,10.962,4.131,0.202,5.669,5.943,1.802,4.735,3.074,0.176,0.019,0.0
9,"EN_1794_Rowson,Susanna_CharlotteTemple_Novel.txt",160,English,1794,"Rowson,Susanna",CharlotteTemple,female,third,36551,1789,20.436556735606484,36551.0,14705.0,40.23145741566579,0.1230032822757111,0.5287757411053746,0.3743441451347146,"[['PROPN', 1096], ['ADP', 3964], ['NOUN', 6883], ['PUNCT', 2185], ['DET', 3248], ['ADJ', 2517], ['CCONJ', 1629], ['AUX', 2469], ['VERB', 5479], ['PRON', 5650], ['PART', 1115], ['ADV', 1570], ['SCONJ', 909], ['NUM', 128], ['INTJ', 108], ['X', 41]]","[('heart', 127), ('charlotte', 100), ('man', 73), ('belcour', 64), ('girl', 64), ('montraville', 60), ('time', 53), ('father', 53), ('woman', 50), ('hand', 50), ('child', 49), ('letter', 47), ('mind', 45), ('mother', 44), ('friends', 39), ('life', 39), ('friend', 39), ('world', 35), ('love', 35), ('parents', 35), ('evening', 33), ('happiness', 32), ('pleasure', 32), ('eyes', 32), ('fortune', 31), ('day', 29), ('bed', 29), ('morning', 29), ('affection', 28), ('situation', 27), ('house', 26), ('chapter', 25), ('bosom', 24), ('soul', 24), ('place', 23), ('eye', 23), ('tears', 23), ('nature', 23), ('power', 22), ('night', 22), ('arms', 22), ('honour', 22), ('peace', 22), ('duty', 22), ('moment', 21), ('person', 20), ('daughter', 20), ('hours', 20), ('tear', 19), ('door', 19)]","[('said', 214), ('see', 54), ('know', 43), ('let', 42), ('have', 41), ('cried', 41), ('make', 39), ('go', 39), ('had', 38), ('think', 37), ('leave', 37), ('take', 36), ('thought', 36), ('replied', 34), ('found', 33), ('made', 32), ('come', 32), ('saw', 31), ('tell', 31), ('left', 30), ('feel', 29), ('return', 29), ('continued', 28), ('say', 26), ('gave', 24), ('knew', 24), ('give', 22), ('endeavour', 21), ('brought', 21), ('hope', 20), ('received', 20), ('wish', 19), ('took', 19), ('has', 18), ('bring', 18), ('lost', 18), ('returned', 17), ('receive', 17), ('look', 16), ('taken', 16), ('led', 15), ('arrived', 15), ('lay', 15), ('began', 15), ('put', 15), ('loved', 15), ('entered', 14), ('find', 14), ('appear', 14), ('wished', 14)]",0.0,6883.0,1115.0,5650.0,2469.0,5479.0,3248.0,3964.0,1629.0,128.0,2517.0,1570.0,1096.0,2185.0,909.0,108.0,17.653,14.052,41.0,0.0,38991.0,0.0,17.653,2.86,14.491,6.332,14.052,8.33,10.166,4.178,0.328,6.455,4.027,2.811,5.604,2.331,0.277,0.105,0.0
