,chapter_count,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_PRON_count,POS_VERB_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_NOUN_count,POS_CCONJ_count,POS_PUNCT_count,POS_SCONJ_count,POS_ADV_count,POS_AUX_count,POS_PROPN_count,POS_NUM_count,POS_PART_count,POS_INTJ_count,POS_X_count,POS_SPACE_count,%POS_PRON_count,%POS_VERB_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_NOUN_count,%POS_CCONJ_count,%POS_PUNCT_count,%POS_SCONJ_count,%POS_ADV_count,%POS_AUX_count,%POS_PROPN_count,%POS_NUM_count,%POS_PART_count,%POS_INTJ_count,%POS_X_count,%POS_SPACE_count
1,chapter_1,0,70,"[['PRON', 11], ['VERB', 10], ['ADP', 11], ['DET', 8], ['ADJ', 6], ['NOUN', 10], ['CCONJ', 3], ['PUNCT', 3], ['SCONJ', 4], ['ADV', 5], ['AUX', 1], ['PROPN', 1]]",73,11.0,10.0,11.0,8.0,6.0,10.0,3.0,3.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.068,13.699,15.068,10.959,8.219,13.699,4.11,4.11,5.479,6.849,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2,chapter_1,0,41,"[['ADP', 6], ['DET', 6], ['NOUN', 9], ['PRON', 3], ['VERB', 3], ['ADJ', 4], ['CCONJ', 3], ['ADV', 4], ['NUM', 2], ['AUX', 1], ['PUNCT', 1]]",42,3.0,3.0,6.0,6.0,4.0,9.0,3.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.143,7.143,14.286,14.286,9.524,21.429,7.143,2.381,0.0,9.524,2.381,0.0,4.762,0.0,0.0,0.0,0.0
3,chapter_1,0,12,"[['ADP', 3], ['DET', 2], ['NOUN', 2], ['PRON', 1], ['VERB', 1], ['ADV', 1], ['PROPN', 2], ['PUNCT', 1]]",13,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.692,7.692,23.077,15.385,0.0,15.385,0.0,7.692,0.0,7.692,0.0,15.385,0.0,0.0,0.0,0.0,0.0
4,chapter_1,0,23,"[['DET', 2], ['ADJ', 2], ['NOUN', 5], ['VERB', 3], ['SCONJ', 1], ['PRON', 2], ['ADP', 5], ['ADV', 3], ['PUNCT', 1]]",24,2.0,3.0,5.0,2.0,2.0,5.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,12.5,20.833,8.333,8.333,20.833,0.0,4.167,4.167,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,chapter_1,0,44,"[['ADP', 5], ['DET', 8], ['NOUN', 12], ['PRON', 2], ['VERB', 3], ['CCONJ', 4], ['ADJ', 7], ['SCONJ', 1], ['AUX', 1], ['ADV', 1], ['PUNCT', 1]]",45,2.0,3.0,5.0,8.0,7.0,12.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,6.667,11.111,17.778,15.556,26.667,8.889,2.222,2.222,2.222,2.222,0.0,0.0,0.0,0.0,0.0,0.0
6,chapter_1,0,58,"[['ADP', 9], ['DET', 9], ['NOUN', 16], ['PRON', 3], ['VERB', 7], ['ADJ', 4], ['ADV', 2], ['SCONJ', 1], ['AUX', 3], ['PUNCT', 2], ['CCONJ', 3], ['NUM', 1]]",60,3.0,7.0,9.0,9.0,4.0,16.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.667,15.0,15.0,6.667,26.667,5.0,3.333,1.667,3.333,5.0,0.0,1.667,0.0,0.0,0.0,0.0
7,chapter_1,0,12,"[['DET', 3], ['NOUN', 4], ['VERB', 2], ['CCONJ', 1], ['NUM', 1], ['ADP', 1], ['PUNCT', 1]]",13,0.0,2.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.385,7.692,23.077,0.0,30.769,7.692,7.692,0.0,0.0,0.0,0.0,7.692,0.0,0.0,0.0,0.0
8,chapter_1,0,9,"[['PRON', 1], ['AUX', 1], ['ADV', 2], ['ADJ', 2], ['CCONJ', 2], ['VERB', 1], ['PUNCT', 1]]",10,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,20.0,10.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
9,chapter_1,0,37,"[['DET', 4], ['NOUN', 9], ['AUX', 4], ['ADJ', 7], ['PUNCT', 4], ['PRON', 3], ['ADP', 3], ['CCONJ', 1], ['VERB', 3], ['ADV', 2], ['SCONJ', 1]]",41,3.0,3.0,3.0,4.0,7.0,9.0,1.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.317,7.317,7.317,9.756,17.073,21.951,2.439,9.756,2.439,4.878,9.756,0.0,0.0,0.0,0.0,0.0,0.0
10,chapter_1,0,55,"[['ADJ', 3], ['NOUN', 8], ['ADP', 9], ['VERB', 9], ['ADV', 4], ['CCONJ', 6], ['DET', 4], ['SCONJ', 2], ['PRON', 7], ['AUX', 3], ['PUNCT', 1]]",56,7.0,9.0,9.0,4.0,3.0,8.0,6.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,16.071,16.071,7.143,5.357,14.286,10.714,1.786,3.571,7.143,5.357,0.0,0.0,0.0,0.0,0.0,0.0
